scientificName
Euphorbia milii
Trichanthera gigantea
Murraya paniculata
Pinus patula
Eucalyptus camaldulensis
Sapindus saponaria
Cocos nucifera
Melicoccus bijugatus
Psidium friedrichsthalianum
Sambucus nigra
Coccoloba uvifera
Elaeis guineensis
Catalpa longissima
Ochna thomasiana
Luma apiculata
Baccharis sp
Areca catechu
Senna pistaciifolia
Annona muricata
Syzygium jambos
Calliandra purdiei
Ficus religiosa
Albizia julibrissin
Ficus benjamina
Tamarindus indica
Theobroma cacao
Triplaris weigeltiana
Guaiacum officinale
Calliandra schultzei
Senna spectabilis
Miconia spicellata
Archontophoenix alexandrae
Muntingia calabura
Moringa oleifera
Sin Identificar
Plumeria tricolor
Ochroma pyramidale
Ficus lyrata
Albizia guachapele
Calliandra tweedii
Monlanoa ovitafolia
Retrophyllum rospigliosii
Artocarpus heterophyllus
Bucida buceras
Dracaena surculosa
Ficus tonduzii
Arundinaria nitida
Juniperus rigida
Syzygium cumini
Dracaena arborea
Terminalia ivorensis
Tabebuia ochracea
Brownea ariza
Heliocarpus popayanensis
Tetrorchidium rubrivenium
Livistona decipiens
Galphimia gracilis
Fraxinus chinensis
Chamaedorea tepejilote
Livistona drudei
Polyscias fruticosa
Huertea granadina
Blighia sapida
Cascabela thevetia
Allamanda cathartica
Hibiscus mutabilis
Cestrum nocturnum
Pereskia grandiflora
Luehea seemannii
Hasseltia floribunda
Hura crepitans
Cupressus sempervirens
Polyscias filicifolia
Cajanus cajan
Bulnesia carrapo
Pithecellobium lanceolatum
Lagerstroemia indica
Huertea glandulosa
Cyrtostachys renda
Morus alba
Acca sellowiana
Washingtonia filifera
Chloroleucon mangense
Schinus terebinthifolia
Duranta erecta
Hyiphorbe verschaffeltii
Senecio formosus
Erythrina variegata
Cinnamomum triplinerve
Myrcia popayanensis
Guarea sp
Roystonea regia
Lafoensia acuminata
Ficus clusiifolia
Prosopis juliflora
Couratari guianensis
Borojoa patinoi
Phoenix robellina
Juglans cinerea
Ocotea sp
Jacaranda obtusifolia
Quadrella odoratissima
Dracaena marginata
Podacarpus oleifolius
Handroanthus serratifolius
Ficus crassinervia
Pereskia bleo
Ficus sp
Bombacopsis quinata
Schizolobium parahyba
Vernicia fordii
Pachira speciosa
Spondias dulcis
Schefflera morototoni
Trichilia goudotiana
Archontophoenix cunninghamiana
Bauhinia purpurea
Uncaria tomentosa
Hymenaea courbaril
Eriobotrya japonica
Citrus aurantifolia
Aiphanes horrida
Plumeria alba
Eugania aggregata
Bauhinia variegata
Xylopia ligustrifolia
Rosa sp.
Ptychosperma elegans
Guazuma ulmifolia
Licania tomentosa
Burugmancia aurea
Mussaenda erythrophylla
Ravenala madagascariensis
Malpighia glabra
Chamaedorea seifrizii
Nerium oleander
Codiaeum variegatum
Dracaena fragrans
Pritchardia pacifica
Myrcia selloi
Maclura tinctoria
Pittosporum undulatum
Calliandra pittieri
Cecropia angustifolia
Ixora coccinea
Pinus caribaea
Juglans neotropica
Phoenix canariensis
Guadua angustifolia
Galphimia glauca
Cinnamomum cinnamomifolium
Cymbopogon citratus
Pachira insignes
Adenaria sp
Pinus oocarpa
Rhapis excelsa
Enterolobium cyclocarpum
Dypsis madagascariensis
Manilkara zapota
Araucaria excelsa
Garcinia madruno
Leucaena leucocephala
Byrsonima spicata
Erythrina edulis
Punica granatum
Randia aculeata
Caryodendron orinocense
Nectandra reticulata
Tecoma stans
Brunfelsia uniflora
Attalea butyracea
Anacardium occidentale
Tibouchina sp
EucalyptusÂ globulus
Toxicodendron striatum
